Site Terminating Status Cookies HTTPOnly Secure SameSite Strict Lax None Path  
usatoday.com HTTP/1.1 200 4 0 4 4 0 4 0 /
usgs.gov HTTP/1.1 301 0 0 0 0 0 0 0 0
usnews.com timed out 0 0 0 0 0 0 0 0
utexas.edu HTTP/1.1 200 0 0 0 0 0 0 0 0
viglink.com HTTP/1.1 200 0 0 0 0 0 0 0 0
vk.com HTTP/1.1 418 0 0 0 0 0 0 0 0
w3.org HTTP/1.1 200 0 0 0 0 0 0 0 0
wikia.com HTTP/1.1 200 3 0 3 3 0 0 3 /
wn.com HTTP/1.1 200 2 0 0 0 0 0 0 0
wp.com HTTP/1.1 200 0 0 0 0 0 0 0 0
www.blogger.com HTTP/1.1 200 3 3 3 0 0 0 0 /
www.canalblog.com HTTP/1.1 200 1 1 0 0 0 0 0 /
www.over-blog.com HTTP/1.1 200 0 0 0 0 0 0 0 0
xing.com HTTP/1.1 301 0 0 0 0 0 0 0 0
yandex.ru HTTP/1.1 200 10 1 2 0 0 0 0 /
ytimg.com HTTP/1.1 200 0 0 0 0 0 0 0 0
